94,MUJ,INTL BUS PARCEL TRACKED ZERO SRT XTR CMP
95,MUK,INTL BUS PARCEL TRACKD & SIGNED ZERO SRT
96,MUL,INT BUS PRCL TRCKD & SGND ZRO SRT XT CMP
97,MUM,INTL BUS PARCELS SIGNED ZERO SORT
98,MUN,INTL BUS PARCEL SIGNED ZERO SORT XTR CMP
99,MUO,INTL BUS MAIL TRACKED ZERO SORT
100,MUP,INTL BUS MAIL TRACKED ZERO SORT XTRA CMP
101,MUQ,INTL BUS MAIL TRACKED & SIGNED ZERO SORT
102,MUR,INT BUS MAIL TRCKD & SGND ZRO SRT XT CMP
103,MUS,INTL BUS MAIL SIGNED ZERO SORT
104,MUT,INTL BUS MAIL SIGNED ZERO SORT XTRA COMP
105,OLA,International Standard On Account
106,OLS,International Economy On Account
107,OSA,International Signed On Account (Zonal Pricing)
108,OSB,International Signed On Account Extra Compensation (Zonal Pricing)
109,OTA,International Tracked On Account (Zonal Pricing)
110,OTB,International Tracked On Account Extra Compensation (Zonal Pricing)
111,OTC,International Tracked & Signed On Account (Zonal Pricing)
112,OTD,International Tracked & Signed On Account Extra Compensation (Zonal Pricing)
113,OZ1,International Business Mail Mixed Zone Sort Priority
114,OZ3,International Business Mail Mixed Zone Sort Economy
115,OZ4,International Business Mail Mixed Zone Sort Priority Machine
116,OZ6,International Business Mail Mixed Zone Srt Economy Machine
117,PK0,Royal Mail 48 (LL) Flat Rate
118,PK1,Royal Mail 24 Standard/Signed For (Parcel – Sort8 - Flat Rate Service)
119,PK2,Royal Mail 48 Standard/Signed For (Parcel – Sort8 - Flat Rate Service)
120,PK3,Royal Mail 24 Standard/Signed For (Parcel - Sort8 - Daily Rate Service)
121,PK4,Royal Mail 48 Standard/Signed For (Parcel - Sort8 - Daily Rate Service)
122,PK7,Royal Mail 24 (Presorted) (P)
123,PK8,Royal Mail 48 (Presorted) (P)
124,PK9,Royal Mail 24 (LL) Flat Rate
125,PKB,RM24 (Presorted) (P) Annual Flat Rate
126,PKD,RM48 (Presorted) (P) Annual Flat Rate
127,PKK,RM48 (Presorted) (LL) Annual Flat Rate
128,PKM,RM24 (Presorted)(LL) Annual Flat Rate
129,PPF,Royal Mail 24/48 Standard/Signed For (Packetpost- Flat Rate Service)
130,PPJ,Parcelpost Flat Rate (Annual)
131,PPS,RM24 (LL) Annual Flat Rate
132,PPT,RM48 (LL) Annual Flat Rate
133,PS0,International Business Parcels Max Sort Economy Service
134,PS7,International Business Mail Large Letter Max Sort Priority Service
135,PS8,International Business Mail Large Letter Max Sort Economy Service
136,PS9,International Business Parcels Max Sort Priority Service
137,PSB,International Business Mail Large Letter Max Sort Standard Service
138,PSC,International Business Parcels Max Sort Standard Service
139,RM0,Royal Mail 48 (Sort8)(P) Annual Flat Rate
140,RM1,Royal Mail 24 (LL) Daily Rate
141,RM2,Royal Mail 24 (P) Daily Rate
